"epoch","acc","loss","auc","val_auc"
0,0.809242570413422,0.481568427696691,0.563425356824133,0.580635102208455
1,0.915409774349034,0.284164330623226,0.584129503590715,0.593148634815216
2,0.916209793171604,0.27189024728471,0.600154653184905,0.61250999991099
3,0.917456881339787,0.264125078679528,0.621181764530629,0.630717233784993
4,0.917480411303795,0.266603919944239,0.636354076222517,0.642825051116943
5,0.918374549989411,0.25794249031386,0.649621452661724,0.655289855003357
6,0.91778630085554,0.256033655177756,0.660577018599406,0.66538231827418
7,0.916727452410645,0.262173531729118,0.668512414417793,0.671577357641856
8,0.918351020024001,0.255839394588554,0.67468195126874,0.67767981856664
9,0.918162780300713,0.254899251479332,0.680293610551564,0.682812739753723
